,model,method,dim,neighbours,n_layers,norm,min_dist,dre1,drf1,lr,edr,fmr,tau,lambd,pred_hid,proj_hid_dim,sp,acc,local,density,alpha,beta,gnn_type
0,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.16131340891362064,0.6652116696150985,0.01601298,0.286139941252918,0.5,1.0,symmetric
1,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0318339660194214,0.6140375454228298,0.030403055,0.2849893115396379,0.5,1.0,symmetric
2,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.10219879457614765,0.6274779433633528,0.020815404,0.3461561552577189,0.5,1.0,symmetric
3,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.15916847305712156,0.6827600614591083,0.10627502,0.06733442187489108,0.5,1.0,symmetric
4,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.10020201911708915,0.6903679159166948,0.0816585,0.36232442877880894,0.5,1.0,symmetric
5,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.17556506961350546,0.6645014474587401,0.044201694,0.6317729266090237,0.5,1.0,symmetric
6,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.16131401231001663,0.6653638251605687,0.015908048,0.2861724378803706,0.5,1.0,symmetric
7,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.03183396602029252,0.6140882553619779,0.030403055,0.2849893115396379,0.5,1.0,symmetric
8,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.10219879457449339,0.6274779433633528,0.020815404,0.3461561552577189,0.5,1.0,symmetric
9,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.1593974480970731,0.6861074062753743,0.10681714,0.07613226161048695,0.5,1.0,symmetric
10,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.10957450496970308,0.6758628408062958,0.08199658,0.3816704165174199,0.5,1.0,symmetric
11,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.16939126350980382,0.6668861267280228,0.046141118,0.6296037328540391,0.5,1.0,symmetric
12,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.16131650992848612,0.6653130894933945,0.015886813,0.28618610935078004,0.5,1.0,symmetric
13,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.03183396602224292,0.6140882553619779,0.030403055,0.2849893115396379,0.5,1.0,symmetric
14,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.10219879457548293,0.6274779433633528,0.020815404,0.3461561552577189,0.5,1.0,symmetric
15,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.15822766291891047,0.6853976986795348,0.1073426,0.0714396532215561,0.5,1.0,symmetric
16,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.13939657339605477,0.6770286548461824,0.08157131,0.3760352039539352,0.5,1.0,symmetric
17,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.16712012417199598,0.6908750410362015,0.045813,0.6388324419947126,0.5,1.0,symmetric
