,model,method,dim,neighbours,n_layers,norm,min_dist,dre1,drf1,lr,edr,fmr,tau,lambd,pred_hid,proj_hid_dim,sp,acc,local,density,alpha,beta,gnn_type
0,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.007640667867009822,0.262,0.09983645,0.028983446733501377,0.5,1.0,symmetric
1,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.01242522015664879,0.25,0.10064873,-0.025091423211144093,0.5,1.0,symmetric
2,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.04030627370547234,0.266,0.10261376,0.061006847585186055,0.5,1.0,symmetric
3,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.010766520216609505,0.28600000000000003,0.09954162,-0.007748177970789938,0.5,1.0,symmetric
4,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.029541588508787617,0.22999999999999998,0.10107188,0.14258629702027772,0.5,1.0,symmetric
5,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.006735869153342022,0.21399999999999997,0.09779691,0.000652811498430851,0.5,1.0,symmetric
6,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.007640667867009822,0.262,0.09983645,0.028983446733501377,0.5,1.0,symmetric
7,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.004495736939345139,0.27799999999999997,0.10122524,-0.025408486508715605,0.5,1.0,symmetric
8,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.005289412448687748,0.29400000000000004,0.10002744,0.05154957825265899,0.5,1.0,symmetric
9,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.0067531831258424,0.24799999999999994,0.1000134,0.010243077835398181,0.5,1.0,symmetric
10,UMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.01333512906390025,0.26800000000000007,0.10383582,0.15973457782813552,0.5,1.0,symmetric
11,DenseMAP,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.0016921327958809207,0.20599999999999996,0.10066434,0.001885641399328672,0.5,1.0,symmetric
12,PCA,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.007640667867009822,0.262,0.09983645,0.028983446733501377,0.5,1.0,symmetric
13,LaplacianEigenmap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.0072553796001304455,0.26600000000000007,0.10164981,0.0409596126867698,0.5,1.0,symmetric
14,Isomap,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,-0.0018029903158690089,0.278,0.104898445,0.0631945344688992,0.5,1.0,symmetric
15,TSNE,heat,2,50,2,normalize,0.1,0.2,0.4,0.001,0.2,0.5,0.5,0.0001,512,256,0.010496533753533337,0.21399999999999997,0.10121618,-0.005982426543119999,0.5,1.0,symmetric
